province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,ward,theme,variable,value
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,total_60_64_yrs,27
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,total_65_69_yrs,9
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,total_70_74_yrs,6
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,total_75_79_yrs,5
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,total_80_84_yrs,6
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,total_85_89_yrs,2
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,total_90_94_yrs,3
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,total_95plus_yrs,1
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,male_all_ages,293
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,male_00_04_yrs,24
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,male_05_09_yrs,13
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,male_10_14_yrs,5
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,male_15_19_yrs,14
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,male_20_24_yrs,27
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,male_25_29_yrs,33
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,male_30_34_yrs,34
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,male_35_39_yrs,27
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,male_40_44_yrs,27
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,male_45_49_yrs,24
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,male_50_54_yrs,18
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,male_55_59_yrs,16
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,male_60_64_yrs,16
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,male_65_69_yrs,3
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,male_70_74_yrs,2
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,male_75_79_yrs,2
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,male_80_84_yrs,4
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,male_85_89_yrs,2
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,male_90_94_yrs,2
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,male_95plus_yrs,0
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,female_all_ages,257
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,female_00_04_yrs,21
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,female_05_09_yrs,11
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,female_10_14_yrs,8
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,female_15_19_yrs,15
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,female_20_24_yrs,24
Bagmati,Rasuwa,Gosaikunda,NP03,NP0329,NP0329402,2,five-year age group,female_25_29_yrs,32
