province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,ward,theme,rdna_affected,variable,value
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,cooking fuel,NA,cooking_fuel_cowdung,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,cooking fuel,NA,cooking_fuel_biogas,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,cooking fuel,NA,cooking_fuel_kerosene,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,cooking fuel,NA,cooking_fuel_other,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,lighting fuel,NA,lighting_electricity,465
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,lighting fuel,NA,lighting_solar,7
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,lighting fuel,NA,lighting_kerosene,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,lighting fuel,NA,lighting_biogas,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,lighting fuel,NA,lighting_other,1
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,sanitation,NA,toilet_flush_public_sewerage,3
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,sanitation,NA,toilet_flush_septic_tank,441
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,sanitation,NA,toilet_pit,28
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,sanitation,NA,toilet_public,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,sanitation,NA,toilet_no_toilet,1
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,household amenities,NA,hh_amenities_without,17
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,household amenities,NA,hh_amenities_at_least_one,456
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,household amenities,NA,hh_amenities_radio,290
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,household amenities,NA,hh_amenities_television,202
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,household amenities,NA,hh_amenities_landline,1
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,household amenities,NA,hh_amenities_mobile_phone_ordinary,418
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,household amenities,NA,hh_amenities_mobile_phone_smart,132
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,household amenities,NA,hh_amenities_computer_laptop,11
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,household amenities,NA,hh_amenities_internet,119
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,household amenities,NA,hh_amenities_car_jeep_van,3
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,household amenities,NA,hh_amenities_motorcycle_scooter,12
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,household amenities,NA,hh_amenities_bicycle,4
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,household amenities,NA,hh_amenities_electric_fan,1
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,household amenities,NA,hh_amenities_refridgerator,11
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,household amenities,NA,hh_amenities_washing_machine,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,household amenities,NA,hh_amenities_air_conditioner,0
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,wealth quintile,NA,wealth_quintile_poorest_quintile_count,129
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,wealth quintile,NA,wealth_quintile_poorer_quintile_count,148
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,wealth quintile,NA,wealth_quintile_middle_quintile_count,149
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,wealth quintile,NA,wealth_quintile_richer_quintile_count,39
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,wealth quintile,NA,wealth_quintile_richest_quintile_count,8
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,wealth quintile,NA,wealth_quintile_poorest_quintile_pc,27.27
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,wealth quintile,NA,wealth_quintile_poorer_quintile_pc,31.29
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,wealth quintile,NA,wealth_quintile_middle_quintile_pc,31.5
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,wealth quintile,NA,wealth_quintile_richer_quintile_pc,8.25
Bagmati,Dolakha,Gaurishankar,NP03,NP0322,NP0322402,2,wealth quintile,NA,wealth_quintile_richest_quintile_pc,1.69
