province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,ward,affected,theme,disaggregation,variable,value
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,male,age_group_0_4,44
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,female,age_group_0_4,40
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,total,age_group_5_9,67
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,male,age_group_5_9,37
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,female,age_group_5_9,30
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,total,age_group_10_14,84
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,male,age_group_10_14,44
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,female,age_group_10_14,40
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,total,age_group_15_19,84
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,male,age_group_15_19,40
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,female,age_group_15_19,44
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,total,age_group_20_24,90
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,male,age_group_20_24,42
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,female,age_group_20_24,48
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,total,age_group_25_29,87
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,male,age_group_25_29,39
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,female,age_group_25_29,48
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,total,age_group_30_34,98
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,male,age_group_30_34,35
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,female,age_group_30_34,63
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,total,age_group_35_39,79
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,male,age_group_35_39,36
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,female,age_group_35_39,43
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,total,age_group_40_44,71
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,male,age_group_40_44,33
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,female,age_group_40_44,38
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,total,age_group_45_49,62
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,male,age_group_45_49,30
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,female,age_group_45_49,32
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,total,age_group_50_54,54
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,male,age_group_50_54,30
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,female,age_group_50_54,24
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,total,age_group_55_59,53
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,male,age_group_55_59,25
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,female,age_group_55_59,28
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,total,age_group_60_64,44
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,male,age_group_60_64,25
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,female,age_group_60_64,19
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,total,age_group_65_69,43
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,male,age_group_65_69,23
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,female,age_group_65_69,20
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,total,age_group_70_74,29
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,male,age_group_70_74,15
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,female,age_group_70_74,14
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,total,age_group_75_79,20
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,male,age_group_75_79,11
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,female,age_group_75_79,9
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,total,age_group_80_84,23
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,male,age_group_80_84,13
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,female,age_group_80_84,10
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,total,age_group_85_89,8
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,male,age_group_85_89,3
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,female,age_group_85_89,5
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,total,age_group_90_94,0
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,male,age_group_90_94,0
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,female,age_group_90_94,0
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,total,age_group_95plus,0
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,male,age_group_95plus,0
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,3,affected,population projections 2026,female,age_group_95plus,0
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,total,population_total,1986
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,male,population_overall_male,947
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,female,population_overall_female,1039
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,total,age_group_0_4,154
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,male,age_group_0_4,80
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,female,age_group_0_4,74
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,total,age_group_5_9,154
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,male,age_group_5_9,76
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,female,age_group_5_9,78
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,total,age_group_10_14,142
Bagmati,Rasuwa,Uttargaya,NP03,NP0329,NP0329403,4,affected,population projections 2026,male,age_group_10_14,75
