province,district,municipality,adm1_pcode,adm2_pcode,adm3_pcode,theme,variable,value
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,total_40_44_yrs,906
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,total_45_49_yrs,828
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,total_50_54_yrs,953
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,total_55_59_yrs,752
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,total_60_64_yrs,783
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,total_65_69_yrs,640
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,total_70_74_yrs,545
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,total_75_79_yrs,298
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,total_80_84_yrs,178
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,total_85_89_yrs,72
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,total_90_94_yrs,34
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,total_95plus_yrs,16
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,male_all_ages,7970
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,male_00_04_yrs,625
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,male_05_09_yrs,692
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,male_10_14_yrs,747
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,male_15_19_yrs,852
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,male_20_24_yrs,680
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,male_25_29_yrs,616
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,male_30_34_yrs,466
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,male_35_39_yrs,414
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,male_40_44_yrs,416
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,male_45_49_yrs,390
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,male_50_54_yrs,441
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,male_55_59_yrs,368
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,male_60_64_yrs,390
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,male_65_69_yrs,314
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,male_70_74_yrs,263
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,male_75_79_yrs,148
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,male_80_84_yrs,97
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,male_85_89_yrs,33
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,male_90_94_yrs,12
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,male_95plus_yrs,6
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,female_all_ages,8520
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,female_00_04_yrs,660
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,female_05_09_yrs,724
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,female_10_14_yrs,840
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,female_15_19_yrs,924
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,female_20_24_yrs,707
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,female_25_29_yrs,597
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,female_30_34_yrs,484
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,female_35_39_yrs,457
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,female_40_44_yrs,490
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,female_45_49_yrs,438
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,female_50_54_yrs,512
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,female_55_59_yrs,384
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,female_60_64_yrs,393
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,female_65_69_yrs,326
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,female_70_74_yrs,282
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,female_75_79_yrs,150
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,female_80_84_yrs,81
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,female_85_89_yrs,39
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,female_90_94_yrs,22
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,five-year age group,female_95plus_yrs,10
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,school attendance,total_children_5_17,4084
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,school attendance,male_children_5_17,1948
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,school attendance,female_children_5_17,2136
Bagmati,Dolakha,Bigu,NP03,NP0322,NP0322401,school attendance,currently_attending_school_male,1762
